folder,coverage_basis,adsorbates,coverage_ML,distribution,Cu3_sites,AuCuCu_sites,AuAuCu_sites,min_C_C_A,min_inter_adsorbate_atom_A,CO_bond_A,OH_bond_A,COH_angle_deg,fixed_metal_atoms,relaxed_metal_atoms
CHO_0p028_interface_Cu3,total adsorbates / 36 actual top-layer Cu atoms,1,0.027778,interface_Cu3,1,0,0,,,1.33,0.98,110.0,204,136
CHO_0p056_uniform,total adsorbates / 36 actual top-layer Cu atoms,2,0.055556,uniform_Cu3,2,0,0,11.769,11.292,1.33,0.98,110.0,204,136
CHO_0p056_interior,total adsorbates / 36 actual top-layer Cu atoms,2,0.055556,interior_Cu3,2,0,0,7.68,7.189,1.33,0.98,110.0,204,136
CHO_0p056_interface_Cu3,total adsorbates / 36 actual top-layer Cu atoms,2,0.055556,interface_Cu3,2,0,0,7.711,7.067,1.33,0.98,110.0,204,136
CHO_0p056_AuCuCu,total adsorbates / 36 actual top-layer Cu atoms,2,0.055556,one_AuCuCu_plus_Cu3,1,1,0,12.91,12.404,1.33,0.98,110.0,204,136
CHO_0p056_AuAuCu,total adsorbates / 36 actual top-layer Cu atoms,2,0.055556,one_AuAuCu_plus_Cu3,1,0,1,13.148,12.675,1.33,0.98,110.0,204,136
CHO_0p111_uniform,total adsorbates / 36 actual top-layer Cu atoms,4,0.111111,uniform_Cu3,4,0,0,6.669,5.94,1.33,0.98,110.0,204,136
CHO_0p111_interior,total adsorbates / 36 actual top-layer Cu atoms,4,0.111111,interior_Cu3,4,0,0,5.118,4.537,1.33,0.98,110.0,204,136
CHO_0p111_interface_Cu3,total adsorbates / 36 actual top-layer Cu atoms,4,0.111111,interface_Cu3,4,0,0,5.1,4.684,1.33,0.98,110.0,204,136
CHO_0p111_AuCuCu,total adsorbates / 36 actual top-layer Cu atoms,4,0.111111,one_AuCuCu_plus_3Cu3,3,1,0,7.339,6.407,1.33,0.98,110.0,204,136
CHO_0p111_AuAuCu,total adsorbates / 36 actual top-layer Cu atoms,4,0.111111,one_AuAuCu_plus_3Cu3,3,0,1,7.31,6.514,1.33,0.98,110.0,204,136
CHO_0p167_uniform,total adsorbates / 36 actual top-layer Cu atoms,6,0.166667,uniform_Cu3,6,0,0,4.943,4.239,1.33,0.98,110.0,204,136
