  8979.000   29  1  1  3.7748083E-03 -1.2165876E+01 -1.3954835E+00  1  1  8.8237776E+03  1.1843831E+01  0.0000000E+00  2.2591524E-01  1.0000000E+00  0.0000000E+00  = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninit, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_iso
    Energy    <xanes>    
   8974.00  1.4488093E-02
   8974.20  2.0335826E-02
   8974.40  2.5381628E-02
   8974.60  1.6017234E-02
   8974.80  1.3671713E-02
   8975.00  1.2638062E-02
   8975.20  1.5251177E-02
   8975.40  1.4392015E-02
   8975.60  8.1051123E-03
   8975.80  6.0442046E-03
   8976.00  3.2664715E-03
   8976.20  3.2290389E-03
   8976.40  1.3087754E-02
   8976.60  2.9315757E-03
   8976.80  4.3771931E-03
   8977.00  3.1309848E-03
   8977.20  2.6608891E-03
   8977.40  3.0399509E-03
   8977.60  3.8206870E-03
   8977.80  5.1828322E-03
   8978.00  7.1592571E-03
   8978.20  9.4335282E-03
   8978.40  1.1289056E-02
   8978.60  1.2054697E-02
   8978.80  1.1793197E-02
   8979.00  1.1055208E-02
   8979.20  1.0243283E-02
   8979.40  9.4986079E-03
   8979.60  8.8410316E-03
   8979.80  8.2691933E-03
   8980.00  7.7852629E-03
   8980.20  7.3957884E-03
   8980.40  7.1069023E-03
   8980.60  6.9218707E-03
   8980.80  6.8409574E-03
   8981.00  6.8630297E-03
   8981.20  6.9867206E-03
   8981.40  7.2113179E-03
   8981.60  7.5372327E-03
   8981.80  7.9659316E-03
   8982.00  8.4988177E-03
   8982.20  9.1338013E-03
   8982.40  9.8574285E-03
   8982.60  1.0631100E-02
   8982.80  1.1376239E-02
   8983.00  1.1978337E-02
   8983.20  1.2335766E-02
   8983.40  1.2435472E-02
   8983.60  1.2376483E-02
   8983.80  1.2305920E-02
   8984.00  1.2343081E-02
   8984.20  1.2547867E-02
   8984.40  1.2926146E-02
   8984.60  1.3440838E-02
   8984.80  1.4020904E-02
   8985.00  1.4573316E-02
   8985.20  1.5007122E-02
   8985.40  1.5264380E-02
   8985.60  1.5314003E-02
   8985.80  1.5247326E-02
   8986.00  1.5088552E-02
   8986.20  1.4887334E-02
   8986.40  1.4687543E-02
   8986.60  1.4542316E-02
   8986.80  1.4522703E-02
   8987.00  1.4707778E-02
   8987.20  1.5167973E-02
   8987.40  1.5956343E-02
   8987.60  1.7104817E-02
   8987.80  1.8615343E-02
   8988.00  2.0440246E-02
   8988.20  2.2459659E-02
   8988.40  2.4477572E-02
   8988.60  2.6270535E-02
   8988.80  2.7667322E-02
   8989.00  2.8612954E-02
   8989.20  2.9162341E-02
   8989.40  2.9419997E-02
   8989.60  2.9482584E-02
   8989.80  2.9413316E-02
   8990.00  2.9242721E-02
   8990.20  2.8979572E-02
   8990.40  2.8620980E-02
   8990.60  2.8161215E-02
   8990.80  2.7595603E-02
   8991.00  2.6924128E-02
   8991.20  2.6153026E-02
   8991.40  2.5294946E-02
   8991.60  2.4369149E-02
   8991.80  2.3400427E-02
   8992.00  2.2415859E-02
   8992.20  2.1443565E-02
   8992.40  2.0510515E-02
   8992.60  1.9639878E-02
   8992.80  1.8850642E-02
   8993.00  1.8159701E-02
   8993.20  1.7570524E-02
   8993.40  1.7091932E-02
   8993.60  1.6726785E-02
   8993.80  1.6475968E-02
   8994.00  1.6338987E-02
   8994.20  1.6314644E-02
   8994.40  1.6401355E-02
   8994.60  1.6597006E-02
   8994.80  1.6899358E-02
   8995.00  1.7305516E-02
   8995.20  1.7811179E-02
   8995.40  1.8409121E-02
   8995.60  1.9087875E-02
   8995.80  1.9830377E-02
   8996.00  2.0613115E-02
   8996.20  2.1407134E-02
   8996.40  2.2180980E-02
   8996.60  2.2904188E-02
   8996.80  2.3551289E-02
   8997.00  2.4104735E-02
   8997.20  2.4557203E-02
   8997.40  2.4911146E-02
   8997.60  2.5176829E-02
   8997.80  2.5369363E-02
   8998.00  2.5505306E-02
   8998.20  2.5600145E-02
   8998.40  2.5666569E-02
   8998.60  2.5712025E-02
   8998.80  2.5741346E-02
   8999.00  2.5754064E-02
   8999.20  2.5747367E-02
   8999.40  2.5715552E-02
   8999.60  2.5651343E-02
   8999.80  2.5546835E-02
   9000.00  2.5395730E-02
   9000.20  2.5195060E-02
   9000.40  2.4948269E-02
   9000.60  2.4665637E-02
   9000.80  2.4362531E-02
   9001.00  2.4055761E-02
   9001.20  2.3760066E-02
   9001.40  2.3485750E-02
   9001.60  2.3237700E-02
   9001.80  2.3015899E-02
   9002.00  2.2816034E-02
   9002.20  2.2630951E-02
   9002.40  2.2451919E-02
   9002.60  2.2270377E-02
   9002.80  2.2079144E-02
   9003.00  2.1874884E-02
   9003.20  2.1655045E-02
   9003.40  2.1419753E-02
   9003.60  2.1172872E-02
   9003.80  2.0920581E-02
   9004.00  2.0669896E-02
   9004.20  2.0425618E-02
   9004.40  2.0197739E-02
   9004.60  1.9988911E-02
   9004.80  1.9802058E-02
   9005.00  1.9638743E-02
   9005.20  1.9499079E-02
   9005.40  1.9381366E-02
   9005.60  1.9282586E-02
   9005.80  1.9199267E-02
   9006.00  1.9127810E-02
   9006.20  1.9064814E-02
   9006.40  1.9007360E-02
   9006.60  1.8953356E-02
   9006.80  1.8900937E-02
   9007.00  1.8849165E-02
   9007.20  1.8798203E-02
   9007.40  1.8748161E-02
   9007.60  1.8699920E-02
   9007.80  1.8654422E-02
   9008.00  1.8612558E-02
   9008.20  1.8575291E-02
   9008.40  1.8544058E-02
   9008.60  1.8520129E-02
   9008.80  1.8505400E-02
   9009.00  1.8501915E-02
   9009.20  1.8511525E-02
   9009.40  1.8536260E-02
   9009.60  1.8578342E-02
   9009.80  1.8639238E-02
   9010.00  1.8720076E-02
   9010.20  1.8821182E-02
   9010.40  1.8942476E-02
   9010.60  1.9083628E-02
   9010.80  1.9241630E-02
   9011.00  1.9420920E-02
   9011.20  1.9617271E-02
   9011.40  1.9828527E-02
   9011.60  2.0052557E-02
   9011.80  2.0286671E-02
   9012.00  2.0527757E-02
   9012.20  2.0772232E-02
   9012.40  2.1016004E-02
   9012.60  2.1256058E-02
   9012.80  2.1486553E-02
   9013.00  2.1703335E-02
   9013.20  2.1902891E-02
   9013.40  2.2082478E-02
   9013.60  2.2240603E-02
   9013.80  2.2377396E-02
   9014.00  2.2493423E-02
   9014.20  2.2591365E-02
   9014.40  2.2674914E-02
   9014.60  2.2748449E-02
   9014.80  2.2817561E-02
   9015.00  2.2887531E-02
   9015.20  2.2964019E-02
   9015.40  2.3052430E-02
   9015.60  2.3157628E-02
   9015.80  2.3284050E-02
   9016.00  2.3434721E-02
   9016.20  2.3612298E-02
   9016.40  2.3818595E-02
   9016.60  2.4054422E-02
   9016.80  2.4320486E-02
   9017.00  2.4615732E-02
   9017.20  2.4938822E-02
   9017.40  2.5288062E-02
   9017.60  2.5661354E-02
   9017.80  2.6055366E-02
   9018.00  2.6467146E-02
