    Energy    <xanes>    
   8974.00  8.5343151E-04
   8974.20  8.9201035E-04
   8974.40  9.3464713E-04
   8974.60  9.8204787E-04
   8974.80  1.0350918E-03
   8975.00  1.0948869E-03
   8975.20  1.1628463E-03
   8975.40  1.2407976E-03
   8975.60  1.3311382E-03
   8975.80  1.4370614E-03
   8976.00  1.5628867E-03
   8976.20  1.7145431E-03
   8976.40  1.9002642E-03
   8976.60  2.1315269E-03
   8976.80  2.4241069E-03
   8977.00  2.7985345E-03
   8977.20  3.2777458E-03
   8977.40  3.8777887E-03
   8977.60  4.5907406E-03
   8977.80  5.3743560E-03
   8978.00  6.1642393E-03
   8978.20  6.8947818E-03
   8978.40  7.5105436E-03
   8978.60  7.9749840E-03
   8978.80  8.2783497E-03
   8979.00  8.4370327E-03
   8979.20  8.4838025E-03
   8979.40  8.4558776E-03
   8979.60  8.3868864E-03
   8979.80  8.3038340E-03
   8980.00  8.2271787E-03
   8980.20  8.1719918E-03
   8980.40  8.1491353E-03
   8980.60  8.1661621E-03
   8980.80  8.2279575E-03
   8981.00  8.3371904E-03
   8981.20  8.4946065E-03
   8981.40  8.6991676E-03
   8981.60  8.9480380E-03
   8981.80  9.2364441E-03
   8982.00  9.5574875E-03
   8982.20  9.9020735E-03
   8982.40  1.0259202E-02
   8982.60  1.0616888E-02
   8982.80  1.0963816E-02
   8983.00  1.1291466E-02
   8983.20  1.1595991E-02
   8983.40  1.1878951E-02
   8983.60  1.2146395E-02
   8983.80  1.2406569E-02
   8984.00  1.2667162E-02
   8984.20  1.2933096E-02
   8984.40  1.3205496E-02
   8984.60  1.3481946E-02
   8984.80  1.3757763E-02
   8985.00  1.4027818E-02
   8985.20  1.4288359E-02
   8985.40  1.4538397E-02
   8985.60  1.4780347E-02
   8985.80  1.5019906E-02
   8986.00  1.5265360E-02
   8986.20  1.5526557E-02
   8986.40  1.5813737E-02
   8986.60  1.6136315E-02
   8986.80  1.6501656E-02
   8987.00  1.6913949E-02
   8987.20  1.7373288E-02
   8987.40  1.7875134E-02
   8987.60  1.8410266E-02
   8987.80  1.8965351E-02
   8988.00  1.9524089E-02
   8988.20  2.0068837E-02
   8988.40  2.0582430E-02
   8988.60  2.1049853E-02
   8988.80  2.1459455E-02
   8989.00  2.1803512E-02
   8989.20  2.2078151E-02
   8989.40  2.2282810E-02
   8989.60  2.2419475E-02
   8989.80  2.2491907E-02
   8990.00  2.2505014E-02
   8990.20  2.2464405E-02
   8990.40  2.2376120E-02
   8990.60  2.2246476E-02
   8990.80  2.2081985E-02
   8991.00  2.1889294E-02
   8991.20  2.1675113E-02
   8991.40  2.1446128E-02
   8991.60  2.1208886E-02
   8991.80  2.0969674E-02
   8992.00  2.0734386E-02
   8992.20  2.0508407E-02
   8992.40  2.0296510E-02
   8992.60  2.0102781E-02
   8992.80  1.9930564E-02
   8993.00  1.9782447E-02
   8993.20  1.9660259E-02
   8993.40  1.9565092E-02
   8993.60  1.9497341E-02
   8993.80  1.9456753E-02
   8994.00  1.9442484E-02
   8994.20  1.9453162E-02
   8994.40  1.9486962E-02
   8994.60  1.9541671E-02
   8994.80  1.9614772E-02
   8995.00  1.9703522E-02
   8995.20  1.9805034E-02
   8995.40  1.9916361E-02
   8995.60  2.0034579E-02
   8995.80  2.0156862E-02
   8996.00  2.0280550E-02
   8996.20  2.0403207E-02
   8996.40  2.0522664E-02
   8996.60  2.0637048E-02
   8996.80  2.0744793E-02
   8997.00  2.0844640E-02
   8997.20  2.0935627E-02
   8997.40  2.1017062E-02
   8997.60  2.1088496E-02
   8997.80  2.1149696E-02
   8998.00  2.1200608E-02
   8998.20  2.1241331E-02
   8998.40  2.1272088E-02
   8998.60  2.1293202E-02
   8998.80  2.1305080E-02
   8999.00  2.1308191E-02
   8999.20  2.1303054E-02
   8999.40  2.1290230E-02
   8999.60  2.1270305E-02
   8999.80  2.1243884E-02
   9000.00  2.1211582E-02
   9000.20  2.1174016E-02
   9000.40  2.1131793E-02
   9000.60  2.1085511E-02
   9000.80  2.1035746E-02
   9001.00  2.0983051E-02
   9001.20  2.0927951E-02
   9001.40  2.0870942E-02
   9001.60  2.0812492E-02
   9001.80  2.0753036E-02
   9002.00  2.0692981E-02
   9002.20  2.0632708E-02
   9002.40  2.0572570E-02
   9002.60  2.0512898E-02
   9002.80  2.0454000E-02
   9003.00  2.0396163E-02
   9003.20  2.0339654E-02
   9003.40  2.0284722E-02
   9003.60  2.0231596E-02
   9003.80  2.0180487E-02
   9004.00  2.0131590E-02
   9004.20  2.0085081E-02
   9004.40  2.0041118E-02
   9004.60  1.9999843E-02
   9004.80  1.9961381E-02
   9005.00  1.9925842E-02
   9005.20  1.9893320E-02
   9005.40  1.9863897E-02
   9005.60  1.9837641E-02
   9005.80  1.9814609E-02
   9006.00  1.9794847E-02
   9006.20  1.9778394E-02
   9006.40  1.9765277E-02
   9006.60  1.9755520E-02
   9006.80  1.9749138E-02
   9007.00  1.9746139E-02
   9007.20  1.9746527E-02
   9007.40  1.9750299E-02
   9007.60  1.9757449E-02
   9007.80  1.9767961E-02
   9008.00  1.9781818E-02
   9008.20  1.9798994E-02
   9008.40  1.9819455E-02
   9008.60  1.9843165E-02
   9008.80  1.9870076E-02
   9009.00  1.9900135E-02
   9009.20  1.9933281E-02
   9009.40  1.9969445E-02
   9009.60  2.0008551E-02
   9009.80  2.0050515E-02
   9010.00  2.0095246E-02
   9010.20  2.0142646E-02
   9010.40  2.0192612E-02
   9010.60  2.0245034E-02
   9010.80  2.0299798E-02
   9011.00  2.0356787E-02
   9011.20  2.0415882E-02
   9011.40  2.0476961E-02
   9011.60  2.0539903E-02
   9011.80  2.0604585E-02
   9012.00  2.0670888E-02
   9012.20  2.0738694E-02
   9012.40  2.0807889E-02
   9012.60  2.0878360E-02
   9012.80  2.0950001E-02
   9013.00  2.1022708E-02
   9013.20  2.1096381E-02
   9013.40  2.1170924E-02
   9013.60  2.1246244E-02
   9013.80  2.1322250E-02
