natx =      369
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
     -1.80919     -1.80919      0.00000   1      2.55858
     -1.80919      0.00000     -1.80919   1      2.55858
     -1.80919      0.00000      1.80919   1      2.55858
     -1.80919      1.80919      0.00000   1      2.55858
      0.00000     -1.80919     -1.80919   1      2.55858
      0.00000     -1.80919      1.80919   1      2.55858
      1.80919     -1.80919      0.00000   1      2.55858
      0.00000      1.80919     -1.80919   1      2.55858
      1.80919      0.00000     -1.80919   1      2.55858
     -0.00000      1.80919      1.80919   1      2.55858
      1.80919      0.00000      1.80919   1      2.55858
      1.80919      1.80919      0.00000   1      2.55858
     -3.61838      0.00000      0.00000   1      3.61838
      0.00000     -3.61838      0.00000   1      3.61838
      0.00000      0.00000     -3.61838   1      3.61838
      0.00000      0.00000      3.61838   1      3.61838
      0.00000      3.61838      0.00000   1      3.61838
      3.61838      0.00000      0.00000   1      3.61838
     -3.61838     -1.80919     -1.80919   1      4.43159
     -1.80919     -3.61838     -1.80919   1      4.43159
     -1.80919     -1.80919     -3.61838   1      4.43159
     -3.61838     -1.80919      1.80919   1      4.43159
     -1.80919     -3.61838      1.80919   1      4.43159
     -1.80919     -1.80919      3.61838   1      4.43159
     -3.61838      1.80919     -1.80919   1      4.43159
     -1.80919      1.80919     -3.61838   1      4.43159
     -1.80919      3.61838     -1.80919   1      4.43159
     -3.61838      1.80919      1.80919   1      4.43159
     -1.80919      1.80919      3.61838   1      4.43159
     -1.80919      3.61838      1.80919   1      4.43159
      1.80919     -3.61838     -1.80919   1      4.43159
      1.80919     -1.80919     -3.61838   1      4.43159
      3.61838     -1.80919     -1.80919   1      4.43159
      1.80919     -3.61838      1.80919   1      4.43159
      1.80919     -1.80919      3.61838   1      4.43159
      3.61838     -1.80919      1.80919   1      4.43159
      1.80919      1.80919     -3.61838   1      4.43159
      1.80919      3.61838     -1.80919   1      4.43159
      3.61838      1.80919     -1.80919   1      4.43159
      1.80919      1.80919      3.61838   1      4.43159
      1.80919      3.61838      1.80919   1      4.43159
      3.61838      1.80919      1.80919   1      4.43159
     -3.61838     -3.61838      0.00000   1      5.11716
     -3.61838      0.00000     -3.61838   1      5.11716
     -3.61838      0.00000      3.61838   1      5.11716
     -3.61838      3.61838      0.00000   1      5.11716
      0.00000     -3.61838     -3.61838   1      5.11716
      0.00000     -3.61838      3.61838   1      5.11716
      3.61838     -3.61838      0.00000   1      5.11716
      0.00000      3.61838     -3.61838   1      5.11716
      3.61838      0.00000     -3.61838   1      5.11716
     -0.00000      3.61838      3.61838   1      5.11716
      3.61838      0.00000      3.61838   1      5.11716
      3.61838      3.61838      0.00000   1      5.11716
     -5.42757     -1.80919      0.00000   1      5.72116
     -1.80919     -5.42757      0.00000   1      5.72116
     -5.42757      0.00000     -1.80919   1      5.72116
     -1.80919      0.00000     -5.42757   1      5.72116
     -5.42757      0.00000      1.80919   1      5.72116
     -1.80919      0.00000      5.42757   1      5.72116
     -5.42757      1.80919      0.00000   1      5.72116
     -1.80919      5.42757      0.00000   1      5.72116
      0.00000     -5.42757     -1.80919   1      5.72116
      0.00000     -1.80919     -5.42757   1      5.72116
      0.00000     -5.42757      1.80919   1      5.72116
      0.00000     -1.80919      5.42757   1      5.72116
      1.80919     -5.42757      0.00000   1      5.72116
      5.42757     -1.80919      0.00000   1      5.72116
      0.00000      1.80919     -5.42757   1      5.72116
      0.00000      5.42757     -1.80919   1      5.72116
      1.80919      0.00000     -5.42757   1      5.72116
      5.42757      0.00000     -1.80919   1      5.72116
     -0.00000      1.80919      5.42757   1      5.72116
      1.80919      0.00000      5.42757   1      5.72116
     -0.00000      5.42757      1.80919   1      5.72116
      5.42757      0.00000      1.80919   1      5.72116
      1.80919      5.42757      0.00000   1      5.72116
      5.42757      1.80919      0.00000   1      5.72116
     -3.61838     -3.61838     -3.61838   1      6.26722
     -3.61838     -3.61838      3.61838   1      6.26722
     -3.61838      3.61838     -3.61838   1      6.26722
     -3.61838      3.61838      3.61838   1      6.26722
      3.61838     -3.61838     -3.61838   1      6.26722
      3.61838     -3.61838      3.61838   1      6.26722
      3.61838      3.61838     -3.61838   1      6.26722
      3.61838      3.61838      3.61838   1      6.26722
     -5.42757     -3.61838     -1.80919   1      6.76937
     -3.61838     -5.42757     -1.80919   1      6.76937
     -5.42757     -1.80919     -3.61838   1      6.76937
     -1.80919     -5.42757     -3.61838   1      6.76937
     -3.61838     -1.80919     -5.42757   1      6.76937
     -1.80919     -3.61838     -5.42757   1      6.76937
     -5.42757     -3.61838      1.80919   1      6.76937
     -5.42757     -1.80919      3.61838   1      6.76937
     -3.61838     -5.42757      1.80919   1      6.76937
     -3.61838     -1.80919      5.42757   1      6.76937
     -1.80919     -5.42757      3.61838   1      6.76937
     -1.80919     -3.61838      5.42757   1      6.76937
     -5.42757      1.80919     -3.61838   1      6.76937
     -5.42757      3.61838     -1.80919   1      6.76937
     -3.61838      1.80919     -5.42757   1      6.76937
     -3.61838      5.42757     -1.80919   1      6.76937
     -1.80919      3.61838     -5.42757   1      6.76937
     -1.80919      5.42757     -3.61838   1      6.76937
     -3.61838      1.80919      5.42757   1      6.76937
     -5.42757      3.61838      1.80919   1      6.76937
     -1.80919      3.61838      5.42757   1      6.76937
