 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.2672392744E+02    0.2916165288E+02
    0.1584612949E-03    0.2672392076E+02    0.2916164619E+02
    0.1665857792E-03    0.2672390704E+02    0.2916163247E+02
    0.1751268148E-03    0.2672388587E+02    0.2916161130E+02
    0.1841057586E-03    0.2672385679E+02    0.2916158222E+02
    0.1935450626E-03    0.2672381927E+02    0.2916154470E+02
    0.2034683302E-03    0.2672377272E+02    0.2916149814E+02
    0.2139003746E-03    0.2672371646E+02    0.2916144187E+02
    0.2248672813E-03    0.2672364975E+02    0.2916137516E+02
    0.2363964733E-03    0.2672357176E+02    0.2916129715E+02
    0.2485167797E-03    0.2672348154E+02    0.2916120693E+02
    0.2612585075E-03    0.2672337808E+02    0.2916110345E+02
    0.2746535176E-03    0.2672326020E+02    0.2916098556E+02
    0.2887353046E-03    0.2672312664E+02    0.2916085199E+02
    0.3035390802E-03    0.2672297598E+02    0.2916070131E+02
    0.3191018616E-03    0.2672280665E+02    0.2916053196E+02
    0.3354625639E-03    0.2672261691E+02    0.2916034220E+02
    0.3526620974E-03    0.2672240485E+02    0.2916013012E+02
    0.3707434697E-03    0.2672216836E+02    0.2915989360E+02
    0.3897518939E-03    0.2672190508E+02    0.2915963029E+02
    0.4097349008E-03    0.2672161244E+02    0.2915933762E+02
    0.4307424584E-03    0.2672128759E+02    0.2915901274E+02
    0.4528270965E-03    0.2672092740E+02    0.2915865251E+02
    0.4760440382E-03    0.2672052840E+02    0.2915825346E+02
    0.5004513380E-03    0.2672008679E+02    0.2915781180E+02
    0.5261100268E-03    0.2671959835E+02    0.2915732331E+02
    0.5530842647E-03    0.2671905848E+02    0.2915678338E+02
    0.5814415013E-03    0.2671846208E+02    0.2915618692E+02
    0.6112526445E-03    0.2671780356E+02    0.2915552832E+02
    0.6425922378E-03    0.2671707674E+02    0.2915480142E+02
    0.6755386463E-03    0.2671627486E+02    0.2915399946E+02
    0.7101742534E-03    0.2671539046E+02    0.2915311496E+02
    0.7465856660E-03    0.2671441535E+02    0.2915213974E+02
    0.7848639316E-03    0.2671334051E+02    0.2915106478E+02
    0.8251047659E-03    0.2671215606E+02    0.2914988020E+02
    0.8674087919E-03    0.2671085111E+02    0.2914857511E+02
    0.9118817916E-03    0.2670941373E+02    0.2914713758E+02
    0.9586349708E-03    0.2670783080E+02    0.2914555447E+02
    0.1007785237E-02    0.2670608792E+02    0.2914381139E+02
    0.1059455491E-02    0.2670416927E+02    0.2914189254E+02
    0.1113774935E-02    0.2670205754E+02    0.2913978057E+02
    0.1170879397E-02    0.2669973368E+02    0.2913745647E+02
    0.1230911668E-02    0.2669717685E+02    0.2913489935E+02
    0.1294021859E-02    0.2669436417E+02    0.2913208637E+02
    0.1360367778E-02    0.2669127059E+02    0.2912899245E+02
    0.1430115326E-02    0.2668786865E+02    0.2912559013E+02
    0.1503438906E-02    0.2668412827E+02    0.2912184934E+02
    0.1580521867E-02    0.2668001654E+02    0.2911773717E+02
    0.1661556956E-02    0.2667549745E+02    0.2911321757E+02
    0.1746746803E-02    0.2667053157E+02    0.2910825115E+02
    0.1836304427E-02    0.2666507582E+02    0.2910279481E+02
    0.1930453768E-02    0.2665908312E+02    0.2909680145E+02
    0.2029430249E-02    0.2665250201E+02    0.2909021962E+02
    0.2133481363E-02    0.2664527633E+02    0.2908299314E+02
    0.2242867292E-02    0.2663734477E+02    0.2907506072E+02
    0.2357861557E-02    0.2662864049E+02    0.2906635549E+02
    0.2478751704E-02    0.2661909061E+02    0.2905680456E+02
    0.2605840021E-02    0.2660861572E+02    0.2904632853E+02
    0.2739444296E-02    0.2659712942E+02    0.2903484096E+02
    0.2879898609E-02    0.2658453765E+02    0.2902224783E+02
    0.3027554168E-02    0.2657073822E+02    0.2900844688E+02
    0.3182780189E-02    0.2655562007E+02    0.2899332708E+02
    0.3345964819E-02    0.2653906269E+02    0.2897676789E+02
    0.3517516104E-02    0.2652093537E+02    0.2895863859E+02
    0.3697863011E-02    0.2650109649E+02    0.2893879755E+02
    0.3887456502E-02    0.2647939277E+02    0.2891709145E+02
    0.4086770659E-02    0.2645565844E+02    0.2889335454E+02
    0.4296303871E-02    0.2642971446E+02    0.2886740772E+02
    0.4516580081E-02    0.2640136764E+02    0.2883905782E+02
    0.4748150094E-02    0.2637040981E+02    0.2880809661E+02
    0.4991592955E-02    0.2633661692E+02    0.2877430004E+02
    0.5247517398E-02    0.2629974817E+02    0.2873742728E+02
    0.5516563369E-02    0.2625954514E+02    0.2869721987E+02
    0.5799403621E-02    0.2621573091E+02    0.2865340089E+02
    0.6096745403E-02    0.2616800928E+02    0.2860567407E+02
    0.6409332224E-02    0.2611606389E+02    0.2855372305E+02
    0.6737945714E-02    0.2605955759E+02    0.2849721061E+02
    0.7083407578E-02    0.2599813171E+02    0.2843577808E+02
    0.7446581651E-02    0.2593140555E+02    0.2836904470E+02
    0.7828376056E-02    0.2585897596E+02    0.2829660728E+02
    0.8229745479E-02    0.2578041706E+02    0.2821803989E+02
    0.8651693553E-02    0.2569528014E+02    0.2813289380E+02
    0.9095275367E-02    0.2560309384E+02    0.2804069757E+02
    0.9561600107E-02    0.2550336450E+02    0.2794095751E+02
    0.1005183383E-01    0.2539557688E+02    0.2783315832E+02
    0.1056720237E-01    0.2527919514E+02    0.2771676412E+02
    0.1110899442E-01    0.2515366430E+02    0.2759121986E+02
    0.1167856474E-01    0.2501841202E+02    0.2745595316E+02
    0.1227733756E-01    0.2487285094E+02    0.2731037660E+02
    0.1290681012E-01    0.2471638148E+02    0.2715389053E+02
    0.1356855642E-01    0.2454839522E+02    0.2698588649E+02
    0.1426423119E-01    0.2436827890E+02    0.2680575118E+02
    0.1499557396E-01    0.2417541906E+02    0.2661287106E+02
    0.1576441348E-01    0.2396920731E+02    0.2640663770E+02
    0.1657267224E-01    0.2374904635E+02    0.2618645377E+02
    0.1742237132E-01    0.2351435669E+02    0.2595173970E+02
    0.1831563540E-01    0.2326458401E+02    0.2570194118E+02
    0.1925469810E-01    0.2299920733E+02    0.2543653716E+02
    0.2024190758E-01    0.2271774769E+02    0.2515504867E+02
    0.2127973238E-01    0.2241977752E+02    0.2485704811E+02
    0.2237076759E-01    0.2210493049E+02    0.2454216914E+02
    0.2351774137E-01    0.2177291171E+02    0.2421011687E+02
    0.2472352175E-01    0.2142350825E+02    0.2386067836E+02
    0.2599112382E-01    0.2105659966E+02    0.2349373318E+02
    0.2732371724E-01    0.2067216844E+02    0.2310926383E+02
    0.2872463418E-01    0.2027031008E+02    0.2270736581E+02
    0.3019737766E-01    0.1985124247E+02    0.2228825703E+02
    0.3174563032E-01    0.1941531446E+02    0.2185228633E+02
    0.3337326359E-01    0.1896301309E+02    0.2139994075E+02
    0.3508434741E-01    0.1849496927E+02    0.2093185118E+02
    0.3688316037E-01    0.1801196167E+02    0.2044879622E+02
    0.3877420044E-01    0.1751491825E+02    0.1995170374E+02
    0.4076219620E-01    0.1700491538E+02    0.1944164991E+02
    0.4285211869E-01    0.1648317412E+02    0.1891985556E+02
    0.4504919380E-01    0.1595105358E+02    0.1838767941E+02
    0.4735891536E-01    0.1541004105E+02    0.1784660826E+02
    0.4978705887E-01    0.1486173915E+02    0.1729824398E+02
    0.5233969597E-01    0.1430784951E+02    0.1674428731E+02
    0.5502320956E-01    0.1375015394E+02    0.1618651877E+02
    0.5784430984E-01    0.1319049245E+02    0.1562677680E+02
    0.6081005103E-01    0.1263073949E+02    0.1506693372E+02
    0.6392784901E-01    0.1207277796E+02    0.1450886988E+02
    0.6720549992E-01    0.1151847272E+02    0.1395444673E+02
    0.7065119958E-01    0.1096964319E+02    0.1340547964E+02
    0.7427356405E-01    0.1042803705E+02    0.1286371106E+02
    0.7808165111E-01    0.9895304671E+01    0.1233078509E+02
    0.8208498297E-01    0.9372976452E+01    0.1180822423E+02
    0.8629357004E-01    0.8862442296E+01    0.1129740896E+02
    0.9071793599E-01    0.8364935772E+01    0.1079956115E+02
    0.9536914403E-01    0.7881521438E+01    0.1031573146E+02
    0.1002588246E+00    0.7413088008E+01    0.9846791546E+01
    0.1053992045E+00    0.6960345051E+01    0.9393430846E+01
    0.1108031372E+00    0.6523825881E+01    0.8956158212E+01
    0.1164841356E+00    0.6103893503E+01    0.8535307947E+01
    0.1224564049E+00    0.5700752219E+01    0.8131049874E+01
    0.1287348790E+00    0.5314461031E+01    0.7743402756E+01
    0.1353352574E+00    0.4944951409E+01    0.7372250319E+01
    0.1422740444E+00    0.4592045152E+01    0.7017359035E+01
    0.1495685907E+00    0.4255474922E+01    0.6678396787E+01
    0.1572371363E+00    0.3934903171E+01    0.6354951598E+01
    0.1652988567E+00    0.3629941943E+01    0.6046549687E+01
    0.1737739103E+00    0.3340169965E+01    0.5752672237E+01
    0.1826834892E+00    0.3065148964E+01    0.5472770424E+01
    0.1920498720E+00    0.2804437067E+01    0.5206278419E+01
    0.2018964795E+00    0.2557599940E+01    0.4952624233E+01
    0.2122479333E+00    0.2324219942E+01    0.4711238432E+01
    0.2231301176E+00    0.2103901423E+01    0.4481560836E+01
    0.2345702434E+00    0.1896276087E+01    0.4263045438E+01
    0.2465969169E+00    0.1701002483E+01    0.4055163787E+01
    0.2592402112E+00    0.1517768689E+01    0.3857407139E+01
    0.2725317411E+00    0.1346286263E+01    0.3669287617E+01
    0.2865047422E+00    0.1186291587E+01    0.3490338669E+01
    0.3011941545E+00    0.1037534695E+01    0.3320114987E+01
    0.3166367090E+00    0.8997807684E+00    0.3158192100E+01
    0.3328710202E+00    0.7727942330E+00    0.3004165734E+01
    0.3499376824E+00    0.6563418291E+00    0.2857651059E+01
    0.3678793710E+00    0.5501729502E+00    0.2718281867E+01
    0.3867409497E+00    0.4540258173E+00    0.2585709736E+01
    0.4065695822E+00    0.3676051344E+00    0.2459603201E+01
    0.4274148504E+00    0.2905926894E+00    0.2339646943E+01
    0.4493288784E+00    0.2226244232E+00    0.2225541018E+01
    0.4723664626E+00    0.1633064938E+00    0.2117000102E+01
